annee,prix,nom,genre,pays
1952,Peace,Albert Schweitzer,Male,"France, Germany"
1952,Physics,Edward Mills Purcell,Male,United States of America
1952,Physics,Felix Bloch,Male,"Switzerland, United States of America"
1953,Chemestry,Hermann Staudinger,Male,Germany
1953,Literature,Winston Churchill,Male,United Kingdom
1953,Medicine,Fritz Albert Lipmann,Male,Germany
1953,Medicine,Hans Adolf Krebs,Male,"Germany, United Kingdom"
1953,Peace,George Marshall,Male,United States of America
1953,Physics,Frits Zernike,Male,Netherlands
1954,"Chemestry,",Linus Pauling,Male,"United States of America, United States of America"
1954,Literature,Ernest Hemingway,Male,United States of America
1954,Medicine,Thomas Huckle Weller,Male,United States of America
1954,Medicine,Frederick Chapman Robbins,Male,United States of America
1954,Medicine,John Franklin Enders,Male,United States of America
1954,"Peace,",United Nations High Commissioner for Refugees,,
1954,Physics,Walther Bothe,Male,Germany
1954,Physics,Max Born,Male,"Germany, United Kingdom"
1955,Chemestry,Vincent du Vigneaud,Male,United States of America
1955,Literature,Halldór Laxness,Male,Iceland
1955,Medicine,Hugo Theorell,Male,Sweden
1955,Physics,Polykarp Kusch,Male,United States of America
1955,Physics,Willis Lamb,Male,United States of America
1956,Chemestry,Cyril Norman Hinshelwood,Male,United Kingdom
1956,Chemestry,Nikolay Semyonov,Male,Russia
1956,Literature,Juan Ramón Jiménez,Male,Spain
1956,Medicine,Dickinson W. Richards,Male,United States of America
1956,Medicine,André Frédéric Cournand,Male,France
1956,Medicine,Werner Forssmann,Male,Germany
1956,Physics,Walter Houser Brattain,Male,United States of America
1956,Physics,William Shockley,Male,United States of America
1956,"Physics,",John Bardeen,Male,"United States of America, United States of America"
1957,Chemestry,The Lord Todd,Male,United Kingdom
1957,Literature,Albert Camus,Male,France
1957,Medicine,Daniel Bovet,Male,"Italy, Switzerland"
1957,Peace,Lester B. Pearson,Male,Canada
1957,Physics,Tsung-Dao Lee,Male,"China, United States of America"
1957,Physics,Chen Ning Yang,Male,"China, United States of America"
1958,"Chemestry,",Frederick Sanger,Male,"United Kingdom, United Kingdom"
1958,Literature,Boris Pasternak,Male,Russia
1958,Medicine,Joshua Lederberg,Male,United States of America
1958,Medicine,Edward Lawrie Tatum,Male,United States of America
1958,Medicine,George Wells Beadle,Male,United States of America
1958,Peace,Dominique Pire,Male,Belgium
1958,Physics,Igor Tamm,Male,Russia
1958,Physics,Ilya Frank,Male,Russia
1958,Physics,Pavel Cherenkov,Male,Russia
1959,Chemestry,Jaroslav Heyrovský,Male,Czech Republic
1959,Literature,Salvatore Quasimodo,Male,Italy
1959,Medicine,Arthur Kornberg,Male,United States of America
1959,Medicine,Severo Ochoa,Male,"Spain, United Kingdom, United States of America"
1959,Peace,Philip Noel-Baker,Male,United Kingdom
1959,Physics,Owen Chamberlain,Male,United States of America
1959,Physics,Emilio G. Segrè,Male,Italy
1960,Chemestry,Willard Libby,Male,United States of America
1960,Literature,Saint-John Perse,Male,France
1960,Medicine,Frank Macfarlane Burnet,Male,Australia
1960,Medicine,Peter Medawar,Male,"Brazil, United Kingdom"
1960,Peace,Albert Lutuli,Male,South Africa
1960,Physics,Donald A. Glaser,Male,United States of America
1961,Chemestry,Melvin Calvin,Male,United States of America
1961,Literature,Ivo Andrić,Male,Yugoslavia
1961,Medicine,Georg von Békésy,Male,United States of America
1961,Peace,Dag Hammarskjöld,Male,Sweden
1961,Physics,Robert Hofstadter,Male,United States of America
1961,Physics,Rudolf Mössbauer,Male,Germany
1962,Chemestry,John Kendrew,Male,United Kingdom
1962,Chemestry,Max Perutz,Male,United Kingdom
1962,Literature,John Steinbeck,Male,United States of America
1962,Medicine,Francis Crick,Male,United Kingdom
1962,Medicine,Maurice Wilkins,Male,"New Zealand, United Kingdom"
1962,Medicine,James D. Watson,Male,United States of America
1962,Physics,Lev Landau,Male,Azerbaijan
1963,Chemestry,Karl Ziegler,Male,Germany
1963,Chemestry,Giulio Natta,Male,Italy
1963,Literature,Giorgos Seferis,Male,Greece
1963,Medicine,John Eccles,Male,Australia
1963,Medicine,Alan Lloyd Hodgkin,Male,United Kingdom
1963,Medicine,Andrew Huxley,Male,United Kingdom
1963,Peace,League of Red Cross societies,,
1963,Physics,Maria Goeppert-Mayer,Female,"Germany, United States of America"
1963,Physics,J. Hans D. Jensen,Male,Germany
1963,Physics,Eugene Wigner,Male,"Hungary, United States of America"
1964,Chemestry,Dorothy Hodgkin,Female,United Kingdom
1964,Literature,Jean-Paul Sartre,Male,France
1964,Medicine,Konrad Emil Bloch,Male,"Germany, United States of America"
1964,Medicine,Feodor Felix Konrad Lynen,Male,Germany
1964,Peace,Martin Luther King Jr.,Male,United States of America
1964,Physics,Charles Hard Townes,Male,United States of America
1964,Physics,Alexander Prokhorov,Male,"Australia, Russia"
1964,Physics,Nikolay Basov,Male,Russia
1965,Chemestry,Robert Burns Woodward,Male,United States of America
1965,Literature,Mikhail Sholokhov,Male,Russia
1965,Medicine,Jacques Monod,Male,France
1965,Medicine,André Michel Lwoff,Male,France
1965,Medicine,François Jacob,Male,France
1965,Peace,United Nations International Children's Emergency Fund (UNICEF),,
1965,Physics,Richard Feynman,Male,United States of America
1965,Physics,Julian Schwinger,Male,United States of America
1965,Physics,Sin-Itiro Tomonaga,Male,Japan
1966,Chemestry,Robert S. Mulliken,Male,United States of America
1966,Literature,Nelly Sachs,Female,"Germany, Sweden"
1966,Literature,Shmuel Yosef Agnon,Male,"Israel, Ukraine"
1966,Medicine,Charles Brenton Huggins,Male,"Canada, United States of America"
1966,Medicine,Francis Peyton Rous,Male,United States of America
1966,Physics,Alfred Kastler,Male,France
1967,Chemestry,George Porter,Male,United Kingdom
1967,Chemestry,Manfred Eigen,Male,Germany
1967,Chemestry,Ronald George Wreyford Norrish,Male,United Kingdom
1967,Literature,Miguel Ángel Asturias,Male,Guatemala
1967,Medicine,Haldan Keffer Hartline,Male,United States of America
1967,Medicine,George Wald,Male,United States of America
1967,Medicine,Ragnar Granit,Male,"Finland, Sweden"
1967,Physics,Hans Bethe,Male,United States of America
1968,Chemestry,Lars Onsager,Male,"Norway, United States of America"
